Nome;Idade;Vaga;Estado
Sophia Bernardes;21;Web;MG
Augusto Santos;21;Web;AM
Enzo Barros;32;Mobile;SP
Rayssa Porto;20;QA;RS
Bryan Galvao;20;Mobile;GO
Anthony Souza;35;Mobile;RS
Isabella Real;18;Mobile;PI
Marcos Pereira;35;Mobile;SP
Jose Baptista;42;Web;SP
Bernardo Aparicio;26;Web;AC
Kaique Rocha;18;QA;MS
Thomas Almada;32;Mobile;RN
Olivia Mota;22;Mobile;SP
Nelson Barbosa;47;Web;TO
Antonio Moura;33;QA;PR
Benedita Nunes;18;Mobile;PB
Teresinha Mendes;32;Web;AP
Ruan Figueiredo;29;Mobile;BA
Barbara Cavalcanti;24;QA;RJ
Arthur Costa;32;QA;AC
Murilo Cunha;42;QA;PB
Henrique Rezende;18;QA;BA
Caua Aragao;32;QA;RN
Isabella Rosa;32;QA;RO
Andre Fernandes;43;QA;SC
Heloisa Luz;42;Web;AM
Raimunda Monteiro;32;Mobile;PB
Carlos Gomes;26;Mobile;ES
Liz Goncalves;23;Mobile;AP
Raimundo Novaes;32;QA;PA
Rodrigo Mata;22;Mobile;RR
Carolina Souza;32;Mobile;PI
Ruan Baptista;32;QA;SE
Rafael Pires;23;QA;CE
Juliana Fernandes;47;Mobile;AL
Sergio Bernardes;26;QA;AM
Caua Moura;42;Web;AC
Hadassa Moraes;44;Web;RO
Aurora Fogaca;47;QA;PR
Clarice Costa;47;QA;PI
Daniela Barbosa;47;QA;TO
Cecilia Gomes;44;Web;PR
Mariah Jesus;34;Mobile;RN
Malu Silveira;47;Web;RN
Amanda Farias;43;QA;SP
Elaine Rocha;22;Mobile;MS
Ana Freitas;47;Mobile;PE
Bryan Rezende;26;Web;SC
Filipe Figueiredo;47;Web;MT
Raul Silva;18;Mobile;PA
Luiz Brito;35;Web;TO
Natalia Real;28;Web;MA
Vitor Monteiro;24;QA;AP
Noah Rodrigues;47;Mobile;SP
Luana Ramos;20;QA;CE
Jorge Paula;24;Mobile;CE
Caio Barros;47;Web;PE
Claudio Duarte;32;Web;SP
Rita Conceicao;42;QA;RS
Thiago Galvao;32;QA;MT
Maria Costa;21;QA;RR
Helena Assis;47;QA;AC
Sebastiao Santos;47;Mobile;PI
Daiane Cardoso;39;Mobile;RJ
Carlos Aragao;44;Mobile;AP
Ana Cunha;39;Mobile;AC
Pedro Pires;47;Mobile;TO
Luna Bernardes;42;Web;RO
Mariana Moraes;32;Mobile;PA
Otavio Rocha;21;Mobile;ES
Joaquim Galvao;32;QA;RR
Esther Mota;48;Web;ES
Eduarda Almada;18;Mobile;MG
Marcia Farias;32;Web;PB
Jessica Rosa;26;Mobile;ES
Enzo Paula;22;QA;AC
Giovana Cavalcanti;20;QA;CE
Malu Peixoto;44;Web;PI
Rosangela Carvalho;39;QA;SE
Marli Paz;34;Mobile;PE
Benedito Mata;39;Mobile;BA
Vitoria Melo;26;QA;TO
Daiane Nogueira;47;Mobile;ES
Regina Duarte;21;QA;DF
Rodrigo Rezende;21;Web;RJ
Erick Almeida;22;QA;PR
Stella Campos;32;QA;RJ
Jorge Pereira;47;Mobile;RN
Luis Rocha;33;Mobile;PI
Clarice Brito;18;Web;DF
Murilo Rezende;48;Web;AP
Esther Moraes;49;Web;PE
Raimundo Monteiro;26;Mobile;ES
Mariah Santos;22;Mobile;MA
Isadora Rocha;29;QA;SP
Bento Mendes;22;Mobile;AC
Marli Barbosa;18;QA;PE
Kaue Castro;43;QA;RO
Leticia Caldeira;34;Mobile;CE
Jose Paula;47;Mobile;RO
Paulo Santos;21;Mobile;RJ
Giovanna Baptista;39;Mobile;SE
Betina Rocha;21;Web;MT
Lucia Dias;39;Mobile;RR
Carolina Moreira;21;Mobile;MA
Caio Cardoso;39;QA;SP
Clarice Bernardes;35;Web;GO
Lucas Novaes;32;QA;PE
Fabio Assuncao;47;Mobile;ES
Jennifer Carvalho;34;Mobile;AC
Sophie Rosa;44;Web;BA
Anderson Costa;18;Web;PE
Debora Melo;47;Web;PE
Alice Mata;33;Mobile;PE
Leonardo Viana;43;Mobile;CE
Fabiana Neves;20;QA;SP
Kaique Silva;32;Web;MT
Guilherme Gomes;33;Mobile;MG
Emily Moura;47;Mobile;TO
Gabriel Pereira;44;Mobile;AC
Jennifer Ramos;42;Mobile;PR
Fabiana Rocha;34;QA;TO
Debora Goncalves;20;QA;MT
Juliana Nogueira;47;QA;SC
Davi Barros;33;Web;DF
Camila Moreira;20;Mobile;SP
Jorge Alves;18;Mobile;RS
Rayssa Galvao;42;Mobile;AC
Samuel Figueiredo;35;Mobile;AM
Larissa Campos;34;QA;MA
Marcela Drumond;47;Mobile;RS
Teresinha Dias;24;Web;MG
Kevin Sales;32;QA;PI
Betina Peixoto;42;Web;GO
Heloise Real;33;Web;AM
Alexandre Silva;29;Mobile;RN
Kamilly Cunha;32;Web;TO
Eliane Jesus;33;Mobile;RN
Sonia Monteiro;49;Web;AP
Renato Aragao;22;QA;DF
Maria Martins;18;QA;MG
Larissa Pires;39;Web;SP
Giovana Oliveira;24;Mobile;SE
Rita Mota;35;QA;SC
Marli Fogaca;22;QA;GO
Antonella Lopes;34;Mobile;RO
Adriana Nunes;29;QA;DF
Debora Santos;18;QA;TO
Aline Neves;28;Web;SC
Manuela Castro;21;Mobile;AL
Elisa Mendes;20;QA;PI
Yuri Santos;23;Mobile;SE
Daniel Carvalho;42;Web;RS
Isabel Drumond;28;Mobile;RR
Felipe Monteiro;33;Web;RN
Sebastiana Farias;32;Mobile;ES
Esther Santos;23;Mobile;ES
Felipe Rocha;32;Web;PB
Helena Caldeira;48;QA;MS
Antonio Ferreira;48;QA;SC
Mariana Novaes;32;QA;PB
Alessandra Real;21;Web;MA
Fernando Melo;33;Web;MT
Pedro Rezende;28;Web;PI
Marli Aragao;47;Mobile;DF
Amanda Brito;18;Mobile;PE
Manuel Lopes;44;Mobile;TO
Rayssa Pinto;32;Mobile;AC
Kamilly Cunha;44;Web;TO
Alana Jesus;26;QA;MA
Mirella Almeida;26;QA;MA
Noah Peixoto;47;Web;PA
Fatima Martins;32;Web;PB
Guilherme Oliveira;22;QA;RN
Mariah Paz;34;Web;MT
Ayla Rodrigues;24;Mobile;MS
Nicole Lima;44;Mobile;GO
Murilo Silveira;24;Web;AM
Lavinia Araujo;20;Web;MT
Mariah Pires;32;Mobile;MT
Fatima Silveira;32;QA;CE
Pedro Neves;18;Web;GO
Sophia Pinto;43;QA;MG
Thomas Vieira;49;Web;ES
Caio Rosa;21;Web;SC
Pedro Cruz;32;QA;RJ
Livia Almada;44;Mobile;PI
Emanuelly Cardoso;18;Mobile;RJ
Tatiane Silva;47;Mobile;AP
Olivia Monteiro;47;Web;PI
Vera Paula;29;QA;GO
Sebastiana Rezende;23;QA;SE
Victor Castro;24;Mobile;PE
Lorenzo Cunha;29;QA;GO
Lorena Duarte;32;Web;AC
Caleb Martins;18;QA;AP
Pedro Sales;33;QA;RS
Luna Goncalves;26;Mobile;ES
Renata Farias;48;Web;SC
Bruno Assis;18;QA;AL
Roberto Rodrigues;47;QA;PR
Carla Cavalcanti;32;Web;DF
Bernardo Fernandes;42;Mobile;MT
Breno Moraes;32;Web;AP
Fabio Carvalho;39;QA;AL
Mario Viana;20;Web;RN
Kamilly Costa;18;Mobile;RR
Marcio Araujo;29;Web;AC
Carlos Novaes;20;Web;GO
Gabrielly Baptista;18;Mobile;AC
Vicente Nascimento;18;Mobile;PE
Luana Cavalcanti;18;Web;CE
Emanuel Luz;39;Web;TO
Aurora Aparicio;47;Mobile;MA
Yuri Lima;23;Web;AM
Antonia Neves;18;Web;PA
Yasmin Drumond;42;Web;AL
Sabrina Moura;28;Mobile;RR
Renato Nunes;33;Web;MG
